id,user_id,coin_name,available,disabled,lock,unrelease,purchase,address
482,115,qc,319095.7412,0,0,0,0,QSuoGYLmnVkxJmRhWbpTsKyNWUwTQXBqWd
487,116,qc,387.98,0,0,0,0,QXY8mi8yBgJhLRBcE8bYgMB8Y3U7Rwodme
492,117,qc,57821.95226,0,0,0,0,QZRximD1bU61ddqvLFW6ppQdKL2fS6EbsK
497,118,qc,1736.28,0,0,0,0,QYXSch9nFQieZoodZmtVbYCK7r8DhExZHh
502,119,qc,2100,0,0,0,0,Qd7NzfV3zs5y1nHxfU2rwCzF3Cj2HcD3WX
517,122,qc,0,0,0,0,0,QLfjtrRJXMci52eeJBDwJW99GgKV9uLbo6
522,123,qc,1000,0,0,0,0,QciqcgwwqJiLVhjoAoMNpQk2kQDpJopfMv
527,124,qc,0,0,0,0,0,QM4FcWxN8FsxwRw16gxkkAkGWUT3yWt3Z4
537,126,qc,810.19,0,0,0,0,QhAqWkx5JGaWh6aw15xEo9gyCXxdDMnusy
572,133,qc,3723.904,0,0,0,0,QgBBkPVeRAwHfW4Nnkt33UBViVyntB7jaW
597,138,qc,84,0,0,0,0,QSv3bTHSgZbQacXB9ffyeB6Pc2V5poeDBd
602,139,qc,3436.88,0,0,0,0,QU5HU2rs9DcLctpaSZ1xDy1HTTs5V9N5Xz
617,142,qc,33.6,0,0,0,0,QWrxMjScAjV6gnubkbXcCFn8M8T5ykoJU7
622,143,qc,33.6,0,0,0,0,QirnMXPcH7fzhQZ5BBUcSf3Timv2QtfFEn
627,144,qc,84,0,0,0,0,QiAsPr8WVZxU356guBMKR9kTk4Tzca3qnR
632,145,qc,0,0,0,0,0,QcBxDyeeEP8oerFQgerBTDJKiF5uYbMKCw
647,148,qc,367.08,0,0,0,0,QfqHTi9RM5dJo7tGYNzRQmgyE7F2GoeA1s
657,150,qc,5357.81,0,0,0,0,QS33N7pHVpMdYnUgLyWNRQmkNV446XZEuJ
672,153,qc,210,0,0,0,0,QgyqnemWpJrbPDEN3gAxeZrQpFF8uuztwQ
712,161,qc,5603.388716,0,0,0,0,QMFTSZuTPEfj3Q3qGUYgpGvS8t12tY3KC9
737,166,qc,7689.95,0,0,0,0,QaAhQ3nQAT1sK7RrXtcdfLjZFsxWPgnD18
742,167,qc,0,0,0,0,0,QbvFMa2unQkf1M2TRJ7Gfi1eKAfh1YaTwm
747,168,qc,89,0,0,0,0,QN6P4ofrXQkpbKFDUYrdPV33grHxDeqw6Q
772,173,qc,0,0,0,0,0,QQ6VALHZTsiZPhpzsBvCwAsmdZnWcfoD4T
797,178,qc,0,0,0,0,0,QcjbUoWutdwrHXZCMCHFXWr3GbJo9QdNyW
802,179,qc,8889.6,0,0,0,0,QMWJvsatehoTrBPtNeLFnXdXddWBW8AenF
807,180,qc,105.16,0,0,0,0,QgSzCr7tR7DQYr4HXVtW2JSeQh43AzivKz
812,181,qc,3994.091804,0,0,0,0,QRDvv1vu3sunMXop49sd34Kn8jcFQhTHqU
817,182,qc,2208.13,0,0,0,0,QhHYKG5CZoFTvs3aCTXLe5fhKEnQsS52BT
837,186,qc,105.16,0,0,0,0,QLcRsKuaCptf6LLAiW4waD12hcKSmA2JAN
842,187,qc,0,0,0,0,0,QM62AnEmLRU9Whd8E366eg9uuQCEtnuQjB
852,189,qc,0,0,0,0,0,QiZoazL7UvtgZxvz13hNmcXQViJsCvb3bL
862,191,qc,8400,0,0,0,0,QSN99S613Ts1oW6nsN9TtBws4tKMpNEwtT
877,194,qc,987.32,0,0,0,0,QgvawHzfWaSCp5BrazTjtuaVyLPJPz6Ag5
882,195,qc,4114.3471,0,0,0,0,QWvRkTeyu2UXjZifgB23RQ2VpVagXD5zov
917,202,qc,222.6,0,0,0,0,QiKhBoZPkoYDxo818TZCM7pZt6qcRfXJZV
922,203,qc,0,0,0,0,0,QcrGjd6dmBgRHY1A6afXz2rezrVyUGTgTm
927,204,qc,119.28,0,0,0,0,QWSeXEJfefrn6MMBVbVjjHy5m948KSVyFa
932,205,qc,240.6,0,0,0,0,QS2znmAZtFKnNTG2fzKMHSyfqfTKruHYGp
937,206,qc,76.44,0,0,0,0,Qiq9hvJVgJGqg7vkrqq6XRec2LDeSY8pmD
942,207,qc,142.8,0,0,0,0,QTzi6iXEmRNyzCx63rAuHdEMt6A1C6Cm4t
947,208,qc,0.0016,0,0,0,0,QQZdnyCYNvAZmnZnL1dFAq54kywPaGDF8g
957,210,qc,0,0,0,0,0,QSoDuG28tPrhJobf2Dx3CGHSgCwmgQjcXp
977,214,qc,0,0,0,0,0,QPqgThZQCZNLKhUApVFkJGHHj9Qmr1PAbV
982,215,qc,2332.84,0,0,0,0,QXxHN1gCbYWJCwTy5S6bn6aYjUtRh3CN1S
992,217,qc,395.94,0,0,0,0,QRcVMCpKZJcEXxKMK2dDaFwdhURXUzR8iX
997,218,qc,2384.45,0,0,0,0,QPr8GdomSfyWUcSVz11fD6mPHVDL5BAyVG
1002,219,qc,1043.62,0,0,0,0,QW3ESNPE7cXE8XxuYaUBSekCU35npixoap
1007,220,qc,84,0,0,0,0,QcQq4KYpEUWdDRxfKodcwSEr2KV7rAEv2m
1042,227,qc,0,0,0,0,0,QUsvZgf8GVpERkh1EnKM1P6HsP7y4DALF9
1047,228,qc,9224.291371,0,0,0,0,QUrHe3YgCPYpghESBDQHSDiPYWBWSScMfi
1052,229,qc,3430.893,0,0,0,0,QM1dxGaHNL1H8M1qXwLt98Dymin7Lz4x88
1057,230,qc,420.048876,0,0,0,0,QWwdkso9vzozHWTS3wZufPBY1mNgUz6txj
1062,231,qc,67.2,0,0,0,0,QWACP2a3WNpDHYHWGG2rtKZLAdPBCLvaf9
